name,min,max
UQG,0.900,1.077
UQT,0.47916700,0.47916701
UqloadE,2.97,2.99
UqloadH,11.9,12.1
elec_cost,57,89.5
elec_cost_ratio,0.20,0.40
gas_cost,33,37
gas_cost_ratio,0.46,0.50
capexpv,430,780
opexpv,16,19
lifepv,20,25
PVdegr,0.004,0.008
power_tol_PV,0,5
capexelec,1400,2100
opexelec,0.03,0.05
lifeelec,60000,100000
replelec,0.15,0.2
lifetank,20,25
capextank,12,16
opextank,-0.05,0.05
capexfc,1500,2400
opexfc,0.045,0.135
replfc,0.25,0.3
lifefc,20000,30000
self_discharge,0.001,0.003
capexbat,224,232
opexbat,15,28
replbat,61,141
lifebat,500,2000
etaDCDC,0.94,0.96
capexDCDC,0.05,0.10
capexDCDCbat,0.15,0.25
opexDCDC,0.01,0.05
lifeDCDC,20,25
etaDCAC,0.89,0.91
capexDCAC,0.35,0.50
opexDCAC,0.01,0.05
lifeDCAC,20,25
capexhp,680.,1004.
opexhp,3.7,7.3
lifehp,19.,21.
replhp,680.,1004.
capexbatLi-ion,500.,1200.
opexbatLi-ion,12,26
replbatLi-ion,210,530
lifebatLi-ion,4800,15700
capexwtank,0.651,0.661
opexwtank,0.,0.
capexgasboiler,90.,100.
opexgasboiler,0.015,0.02
disc_rate,0.04,0.08
infl_rate,0.01,0.03
TEL,347,359
pEL,-0.1,0.1
TFC,347,359
pFC,-0.1,0.1
FCdegr,0.000003,0.000005
ELdegr,0.000004,0.000008
batdegr,0.035,0.039
